ID,State,Farm,Date_of_colleciton,Status,RectTemp,Name,value,alpha,animal
Dairy340,CA,Farm2,07/14-15/2022,Healthy,102.5,Dairy 340,0.579724039,Pielou_e,calf
Dairy341,CA,Farm2,07/14-15/2022,Healthy,102,Dairy 341,0.627284991,Pielou_e,calf
Dairy342,CA,Farm2,07/14-15/2022,Healthy,101.9,Dairy 342,0.518088901,Pielou_e,calf
Dairy343,CA,Farm2,07/14-15/2022,Healthy,101.9,Dairy 343,0.46869803,Pielou_e,calf
Dairy344,CA,Farm2,07/14-15/2022,Healthy,102.6,Dairy 344,0.446619348,Pielou_e,calf
Dairy345,CA,Farm2,07/14-15/2022,Healthy,102.2,Dairy 345,0.383313193,Pielou_e,calf
Dairy346,CA,Farm2,07/14-15/2022,Healthy,102.2,Dairy 346,0.627747725,Pielou_e,calf
Dairy347,CA,Farm2,07/14-15/2022,Healthy,102.3,Dairy 347,0.350811248,Pielou_e,calf
Dairy348,CA,Farm2,07/14-15/2022,Healthy,102.7,Dairy 348,0.361509363,Pielou_e,calf
Dairy349,CA,Farm2,07/14-15/2022,Healthy,103.8,Dairy 349,0.776787843,Pielou_e,calf
Dairy351,CA,Farm2,07/14-15/2022,Healthy,102.2,Dairy 351,0.734830606,Pielou_e,calf
Dairy355,CA,Farm2,07/14-15/2022,Healthy,101.8,Dairy 355,0.545957518,Pielou_e,calf
Dairy356,CA,Farm2,07/14-15/2022,Healthy,101.9,Dairy 356,0.64233106,Pielou_e,calf
Dairy357,CA,Farm2,07/14-15/2022,Healthy,101.7,Dairy 357,0.545186505,Pielou_e,calf
Dairy358,CA,Farm2,07/14-15/2022,Healthy,102.2,Dairy 358,0.430323127,Pielou_e,calf
Dairy359,CA,Farm2,07/14-15/2022,Healthy,100.9,Dairy 359,0.700274375,Pielou_e,calf
Dairy360,CA,Farm2,07/14-15/2022,Healthy,101.4,Dairy 360,0.566086053,Pielou_e,calf
Dairy361,CA,Farm2,07/14-15/2022,Healthy,102,Dairy 361,0.322390765,Pielou_e,calf
Dairy362,CA,Farm2,07/14-15/2022,Healthy,102.8,Dairy 362,0.577132689,Pielou_e,calf
Dairy363,CA,Farm2,07/14-15/2022,Healthy,101.2,Dairy 363,0.57980741,Pielou_e,calf
Dairy364,CA,Farm2,07/14-15/2022,Healthy,102.8,Dairy 364,0.723091615,Pielou_e,calf
Dairy365,CA,Farm2,07/14-15/2022,Healthy,102.3,Dairy 365,0.660845019,Pielou_e,calf
Dairy366,CA,Farm2,07/14-15/2022,Healthy,102.3,Dairy 366,0.347129174,Pielou_e,calf
Dairy367,CA,Farm2,07/14-15/2022,Healthy,101.8,Dairy 367,0.663536306,Pielou_e,calf
Dairy368,CA,Farm2,07/14-15/2022,BRD,101.2,Dairy 368,0.526086055,Pielou_e,calf
Dairy369,CA,Farm2,07/14-15/2022,BRD,101.2,Dairy 369,0.603288993,Pielou_e,calf
Dairy370,CA,Farm2,07/14-15/2022,BRD,101.2,Dairy 370,0.647569173,Pielou_e,calf
Dairy372,CA,Farm2,07/14-15/2022,BRD,100.8,Dairy 372,0.691517595,Pielou_e,calf
Dairy373,CA,Farm2,07/14-15/2022,BRD,101.2,Dairy 373,0.73117042,Pielou_e,calf
Dairy374,CA,Farm2,07/14-15/2022,BRD,102.9,Dairy 374,0.615384945,Pielou_e,calf
Dairy375,CA,Farm2,07/14-15/2022,BRD,101.6,Dairy 375,0.620882459,Pielou_e,calf
Dairy376,CA,Farm2,07/14-15/2022,BRD,101.8,Dairy 376,0.471808365,Pielou_e,calf
Dairy377,CA,Farm2,07/14-15/2022,BRD,102.2,Dairy 377,0.622319321,Pielou_e,calf
Dairy378,CA,Farm2,07/14-15/2022,BRD,101.5,Dairy 378,0.420665056,Pielou_e,calf
Dairy379,CA,Farm2,07/14-15/2022,BRD,102.2,Dairy 379,0.670079472,Pielou_e,calf
Dairy381,CA,Farm2,07/14-15/2022,BRD,102.2,Dairy 381,0.579143185,Pielou_e,calf
Dairy382,CA,Farm2,07/14-15/2022,BRD,105,Dairy 382,0.477219688,Pielou_e,calf
Dairy383,CA,Farm2,07/14-15/2022,Healthy,102.1,Dairy 383,0.68574657,Pielou_e,calf
Dairy384,CA,Farm2,07/14-15/2022,BRD,102.2,Dairy 384,0.585988974,Pielou_e,calf
Dairy385,CA,Farm2,07/14-15/2022,BRD,102.4,Dairy 385,0.603900495,Pielou_e,calf
Dairy386,CA,Farm2,07/14-15/2022,BRD,104.3,Dairy 386,0.568206183,Pielou_e,calf
Dairy387,CA,Farm2,07/14-15/2022,BRD,102.1,Dairy 387,0.499791339,Pielou_e,calf
Dairy388,CA,Farm2,07/14-15/2022,BRD,101.3,Dairy 388,0.652957882,Pielou_e,calf
Dairy389,CA,Farm2,07/14-15/2022,BRD,102.2,Dairy 389,0.55049743,Pielou_e,calf
Dairy390,CA,Farm2,07/14-15/2022,BRD,101.7,Dairy 390,0.714656985,Pielou_e,calf
Dairy391,CA,Farm2,07/14-15/2022,BRD,102.5,Dairy 391,0.51105276,Pielou_e,calf
Dairy392,CA,Farm2,07/14-15/2022,BRD,102,Dairy 392,0.578621961,Pielou_e,calf
Dairy393,CA,Farm2,07/14-15/2022,BRD,102.3,Dairy 393,0.461197018,Pielou_e,calf
Dairy394,CA,Farm2,07/14-15/2022,BRD,102.1,Dairy 394,0.612311684,Pielou_e,calf
Dairy395,CA,Farm2,07/14-15/2022,BRD,101.7,Dairy 395,0.564441878,Pielou_e,calf
Dairy396,CA,Farm2,07/14-15/2022,BRD,102.2,Dairy 396,0.660604454,Pielou_e,calf
Dairy398,CA,Farm2,07/14-15/2022,BRD,103,Dairy 398,0.635344063,Pielou_e,calf
Dairy401,CA,Farm2,07/14-15/2022,BRD,102.2,Dairy 401,0.585572966,Pielou_e,calf
Dairy402,CA,Farm2,07/14-15/2022,BRD,101.9,Dairy 402,0.652169725,Pielou_e,calf
Dairy403,CA,Farm2,07/14-15/2022,BRD,101.8,Dairy 403,0.53374663,Pielou_e,calf
Dairy404,CA,Farm2,07/14-15/2022,BRD,101.7,Dairy 404,0.645144071,Pielou_e,calf
Dairy405,CA,Farm2,07/14-15/2022,BRD,97.8,Dairy 405,0.357330117,Pielou_e,calf
Dairy406,CA,Farm2,07/14-15/2022,BRD,102.1,Dairy 406,0.64584641,Pielou_e,calf
Dairy407,CA,Farm2,07/14-15/2022,BRD,102.7,Dairy 407,0.525565211,Pielou_e,calf
Dairy408,CA,Farm2,07/14-15/2022,BRD,102.6,Dairy 408,0.470083213,Pielou_e,calf
Dairy409,CA,Farm2,07/14-15/2022,BRD,101.9,Dairy 409,0.624190377,Pielou_e,calf
Dairy410,CA,Farm2,07/14-15/2022,BRD,101.5,Dairy 410,0.660562729,Pielou_e,calf
Dairy411,CA,Farm2,07/14-15/2022,BRD,102.7,Dairy 411,0.594304358,Pielou_e,calf
Dairy412,CA,Farm2,07/14-15/2022,BRD,101.9,Dairy 412,0.641344083,Pielou_e,calf
Dairy413,CA,Farm2,07/14-15/2022,BRD,102.4,Dairy 413,0.650005978,Pielou_e,calf
Dairy414,CA,Farm2,07/14-15/2022,BRD,103.8,Dairy 414,0.451723661,Pielou_e,calf
Dairy415,CA,Farm2,07/14-15/2022,BRD,102.6,Dairy 415,0.638034176,Pielou_e,calf
Dairy416,CA,Farm2,07/14-15/2022,BRD,100.6,Dairy 416,0.767653641,Pielou_e,calf
Dairy417,CA,Farm2,07/14-15/2022,BRD,101.6,Dairy 417,0.634255732,Pielou_e,calf
Dairy418,CA,Farm2,07/14-15/2022,BRD,102.8,Dairy 418,0.574689023,Pielou_e,calf
Dairy419,CA,Farm2,07/14-15/2022,BRD,103.3,Dairy 419,0.642201868,Pielou_e,calf
Dairy420,CA,Farm2,07/14-15/2022,BRD,102.6,Dairy 420,0.649726177,Pielou_e,calf
Dairy421,CA,Farm2,07/14-15/2022,BRD,102.9,Dairy 421,0.583832897,Pielou_e,calf
Dairy1,IN,Farm5,2/20/21,BRD,101.7,Dairy 1,0.612229618,Pielou_e,calf
Dairy100,IN,Farm5,2/27/21,Healthy,,Dairy 100,0.388888086,Pielou_e,calf
Dairy12,IN,Farm5,2/20/21,BRD,102.6,Dairy 12,0.700222869,Pielou_e,calf
Dairy13,IN,Farm5,2/20/21,Healthy,,Dairy 13,0.583970676,Pielou_e,Cow
Dairy14,IN,Farm5,2/20/21,BRD,101.8,Dairy 14,0.725877802,Pielou_e,Cow
Dairy15,IN,Farm5,2/20/21,Healthy,,Dairy 15,0.587356777,Pielou_e,calf
Dairy16,IN,Farm5,2/20/21,BRD,102.4,Dairy 16,0.392911966,Pielou_e,calf
Dairy17,IN,Farm5,2/20/21,BRD,101.2,Dairy 17,0.77076772,Pielou_e,calf
Dairy18,IN,Farm5,2/20/21,BRD,102.7,Dairy 18,0.587021672,Pielou_e,calf
Dairy19,IN,Farm5,2/20/21,BRD,102.3,Dairy 19,0.51320923,Pielou_e,calf
Dairy20,IN,Farm5,2/20/21,BRD,101.5,Dairy 20,0.599084007,Pielou_e,calf
Dairy21,IN,Farm5,2/20/21,BRD,104.1,Dairy 21,0.447008921,Pielou_e,calf
Dairy22,IN,Farm5,2/20/21,BRD,102.7,Dairy 22,0.463655666,Pielou_e,calf
Dairy23,IN,Farm5,2/20/21,BRD,103,Dairy 23,0.41836157,Pielou_e,calf
Dairy24,IN,Farm5,2/20/21,BRD,102.3,Dairy 24,0.508043062,Pielou_e,calf
Dairy25,IN,Farm5,2/20/21,BRD,102.4,Dairy 25,0.490087641,Pielou_e,calf
Dairy26,IN,Farm5,2/20/21,BRD,102.5,Dairy 26,0.594846534,Pielou_e,calf
Dairy27,IN,Farm5,2/20/21,BRD,103.2,Dairy 27,0.606466505,Pielou_e,calf
Dairy28,IN,Farm5,2/20/21,BRD,102,Dairy 28,0.398593837,Pielou_e,calf
Dairy29,IN,Farm5,2/20/21,BRD,102,Dairy 29,0.481120272,Pielou_e,calf
Dairy3,IN,Farm5,2/20/21,BRD,100.5,Dairy 3,0.506932183,Pielou_e,Cow
Dairy30,IN,Farm5,2/20/21,BRD,103.5,Dairy 30,0.618706937,Pielou_e,calf
Dairy31,IN,Farm5,2/20/21,BRD,103.3,Dairy 31,0.388909108,Pielou_e,calf
Dairy33,IN,Farm5,2/20/21,BRD,102.1,Dairy 33,0.308409498,Pielou_e,calf
Dairy34,IN,Farm5,2/20/21,BRD,101.4,Dairy 34,0.463939207,Pielou_e,calf
Dairy35,IN,Farm5,2/20/21,Healthy,102.3,Dairy 35,0.352792235,Pielou_e,calf
Dairy36,IN,Farm5,2/20/21,BRD,103.3,Dairy 36,0.43244718,Pielou_e,calf
Dairy38,IN,Farm5,2/20/21,Healthy,102.1,Dairy 38,0.759585207,Pielou_e,calf
Dairy39,IN,Farm5,2/20/21,BRD,101.9,Dairy 39,0.43009688,Pielou_e,calf
Dairy4,IN,Farm5,2/20/21,Healthy,,Dairy 4,0.621704762,Pielou_e,calf
Dairy40,IN,Farm5,2/20/21,Healthy,101.3,Dairy 40,0.651349405,Pielou_e,calf
Dairy41,IN,Farm5,2/20/21,Healthy,101.9,Dairy 41,0.397122385,Pielou_e,calf
Dairy42,IN,Farm5,2/27/21,Healthy,101.8,Dairy 42,0.395382311,Pielou_e,calf
Dairy43,IN,Farm5,2/27/21,Healthy,,Dairy 43,0.519532282,Pielou_e,calf
Dairy44,IN,Farm5,2/27/21,Healthy,,Dairy 44,0.436110892,Pielou_e,calf
Dairy45,IN,Farm5,2/27/21,Healthy,,Dairy 45,0.642530542,Pielou_e,calf
Dairy46,IN,Farm5,2/27/21,Healthy,,Dairy 46,0.537738111,Pielou_e,calf
Dairy47,IN,Farm5,2/27/21,BRD,104.5,Dairy 47,0.536856118,Pielou_e,calf
Dairy48,IN,Farm5,2/27/21,Healthy,,Dairy 48,0.612314123,Pielou_e,calf
Dairy49,IN,Farm5,2/27/21,BRD,103.4,Dairy 49,0.458479531,Pielou_e,calf
Dairy50,IN,Farm5,2/27/21,BRD,102.1,Dairy 50,0.428359843,Pielou_e,calf
Dairy51,IN,Farm5,2/27/21,BRD,103.4,Dairy 51,0.49064209,Pielou_e,calf
Dairy52,IN,Farm5,2/27/21,Healthy,103.2,Dairy 52,0.630501136,Pielou_e,calf
Dairy53,IN,Farm5,2/27/21,BRD,102.7,Dairy 53,0.379019005,Pielou_e,calf
Dairy54,IN,Farm5,2/27/21,Healthy,102.6,Dairy 54,0.594898382,Pielou_e,calf
Dairy55,IN,Farm5,2/27/21,Healthy,102.8,Dairy 55,0.396084519,Pielou_e,calf
Dairy56,IN,Farm5,2/27/21,Healthy,102.7,Dairy 56,0.605566194,Pielou_e,calf
Dairy57,IN,Farm5,2/27/21,BRD,102.6,Dairy 57,0.629129146,Pielou_e,calf
Dairy58,IN,Farm5,2/27/21,BRD,102.3,Dairy 58,0.42440948,Pielou_e,calf
Dairy59,IN,Farm5,2/27/21,Healthy,102.4,Dairy 59,0.385664115,Pielou_e,calf
Dairy6,IN,Farm5,2/20/21,BRD,103.2,Dairy 6,0.750239192,Pielou_e,Cow
Dairy61,IN,Farm5,2/27/21,Healthy,102.6,Dairy 61,0.459388522,Pielou_e,calf
Dairy62,IN,Farm5,2/27/21,BRD,102.5,Dairy 62,0.445730782,Pielou_e,calf
Dairy63,IN,Farm5,2/27/21,Healthy,103.5,Dairy 63,0.397095519,Pielou_e,calf
Dairy65,IN,Farm5,2/27/21,BRD,102.1,Dairy 65,0.494279234,Pielou_e,calf
Dairy66,IN,Farm5,2/27/21,Healthy,102.2,Dairy 66,0.646624844,Pielou_e,calf
Dairy67,IN,Farm5,2/27/21,Healthy,102.5,Dairy 67,0.59321544,Pielou_e,calf
Dairy68,IN,Farm5,2/27/21,BRD,102.3,Dairy 68,0.313716002,Pielou_e,calf
Dairy69,IN,Farm5,2/27/21,Healthy,102.3,Dairy 69,0.422713703,Pielou_e,calf
Dairy7,IN,Farm5,2/20/21,Healthy,,Dairy 7,0.484685319,Pielou_e,calf
Dairy70,IN,Farm5,2/27/21,Healthy,102.8,Dairy 70,0.57323813,Pielou_e,calf
Dairy71,IN,Farm5,2/27/21,Healthy,102.3,Dairy 71,0.611606291,Pielou_e,calf
Dairy72,IN,Farm5,2/27/21,BRD,103.7,Dairy 72,0.473929989,Pielou_e,calf
Dairy74,IN,Farm5,2/27/21,Healthy,102.8,Dairy 74,0.328213408,Pielou_e,calf
Dairy75,IN,Farm5,2/27/21,Healthy,102,Dairy 75,0.513613817,Pielou_e,calf
Dairy77,IN,Farm5,2/27/21,Healthy,101.9,Dairy 77,0.365122862,Pielou_e,calf
Dairy78,IN,Farm5,2/27/21,BRD,101.9,Dairy 78,0.470172529,Pielou_e,calf
Dairy79,IN,Farm5,2/27/21,BRD,102.6,Dairy 79,0.367833778,Pielou_e,calf
Dairy8,IN,Farm5,2/20/21,BRD,104.3,Dairy 8,0.644922677,Pielou_e,calf
Dairy80,IN,Farm5,2/27/21,BRD,102.1,Dairy 80,0.408950506,Pielou_e,calf
Dairy81,IN,Farm5,2/27/21,Healthy,101,Dairy 81,0.412183357,Pielou_e,calf
Dairy82,IN,Farm5,2/27/21,Healthy,101.4,Dairy 82,0.530627498,Pielou_e,calf
Dairy83,IN,Farm5,2/27/21,Healthy,,Dairy 83,0.709021591,Pielou_e,calf
Dairy84,IN,Farm5,2/27/21,Healthy,100.9,Dairy 84,0.654712095,Pielou_e,calf
Dairy85,IN,Farm5,2/27/21,Healthy,,Dairy 85,0.423144841,Pielou_e,calf
Dairy86,IN,Farm5,2/27/21,Healthy,101.6,Dairy 86,0.618271402,Pielou_e,calf
Dairy87,IN,Farm5,2/27/21,BRD,101,Dairy 87,0.691299683,Pielou_e,calf
Dairy88,IN,Farm5,2/27/21,Healthy,,Dairy 88,0.668876178,Pielou_e,calf
Dairy89,IN,Farm5,2/27/21,BRD,103,Dairy 89,0.430548494,Pielou_e,calf
Dairy9,IN,Farm5,2/20/21,Healthy,,Dairy 9,0.546444951,Pielou_e,calf
Dairy90,IN,Farm5,2/27/21,BRD,102.3,Dairy 90,0.474535113,Pielou_e,calf
Dairy91,IN,Farm5,2/27/21,BRD,102.2,Dairy 91,0.67513407,Pielou_e,calf
Dairy92,IN,Farm5,2/27/21,Healthy,,Dairy 92,0.434000667,Pielou_e,calf
Dairy93,IN,Farm5,2/27/21,Healthy,,Dairy 93,0.600524408,Pielou_e,calf
Dairy94,IN,Farm5,2/27/21,Healthy,,Dairy 94,0.595476297,Pielou_e,calf
Dairy95,IN,Farm5,2/27/21,Healthy,,Dairy 95,0.780529953,Pielou_e,calf
Dairy96,IN,Farm5,2/27/21,Healthy,,Dairy 96,0.739405195,Pielou_e,calf
Dairy97,IN,Farm5,2/27/21,Healthy,,Dairy 97,0.465731089,Pielou_e,calf
Dairy98,IN,Farm5,2/27/21,BRD,103.6,Dairy 98,0.511615321,Pielou_e,calf
Dairy99,IN,Farm5,2/27/21,BRD,102.8,Dairy 99,0.32907305,Pielou_e,calf
Dairy101,NY,Farm3,05/18-19/2021,Healthy,102.8,Dairy 101,0.75190394,Pielou_e,calf
Dairy102,NY,Farm3,05/18-19/2021,Healthy,101.8,Dairy 102,0.716753582,Pielou_e,calf
Dairy103,NY,Farm3,05/18-19/2021,Healthy,102.6,Dairy 103,0.617139544,Pielou_e,calf
Dairy104,NY,Farm3,05/18-19/2021,Healthy,102.6,Dairy 104,0.663145715,Pielou_e,calf
Dairy105,NY,Farm3,05/18-19/2021,Healthy,102.4,Dairy 105,0.602483372,Pielou_e,calf
Dairy106,NY,Farm3,05/18-19/2021,Healthy,,Dairy 106,0.543433474,Pielou_e,calf
Dairy107,NY,Farm3,05/18-19/2021,Healthy,102.5,Dairy 107,0.673575733,Pielou_e,calf
Dairy108,NY,Farm3,05/18-19/2021,Healthy,,Dairy 108,0.560534142,Pielou_e,calf
Dairy109,NY,Farm3,05/18-19/2021,Healthy,101.7,Dairy 109,0.726939415,Pielou_e,calf
Dairy110,NY,Farm3,05/18-19/2021,Healthy,102,Dairy 110,0.750784118,Pielou_e,calf
Dairy111,NY,Farm3,05/18-19/2021,Healthy,102,Dairy 111,0.648305798,Pielou_e,calf
Dairy112,NY,Farm3,05/18-19/2021,Healthy,102.2,Dairy 112,0.67584177,Pielou_e,calf
Dairy113,NY,Farm3,05/18-19/2021,Healthy,102.7,Dairy 113,0.672236238,Pielou_e,calf
Dairy114,NY,Farm3,05/18-19/2021,Healthy,,Dairy 114,0.499934406,Pielou_e,calf
Dairy115,NY,Farm3,05/18-19/2021,Healthy,,Dairy 115,0.624084655,Pielou_e,calf
Dairy116,NY,Farm3,05/18-19/2021,Healthy,,Dairy 116,0.737131774,Pielou_e,calf
Dairy117,NY,Farm3,05/18-19/2021,Healthy,102.1,Dairy 117,0.676749284,Pielou_e,calf
Dairy118,NY,Farm3,05/18-19/2021,Healthy,102.8,Dairy 118,0.597890616,Pielou_e,calf
Dairy119,NY,Farm3,05/18-19/2021,Healthy,101.4,Dairy 119,0.702848427,Pielou_e,calf
Dairy120,NY,Farm3,05/18-19/2021,Healthy,,Dairy 120,0.526641121,Pielou_e,calf
Dairy121,NY,Farm3,05/18-19/2021,Healthy,102.5,Dairy 121,0.614176335,Pielou_e,calf
Dairy122,NY,Farm3,05/18-19/2021,Healthy,101.9,Dairy 122,0.712081079,Pielou_e,calf
Dairy123,NY,Farm3,05/18-19/2021,Healthy,,Dairy 123,0.75476476,Pielou_e,calf
Dairy124,NY,Farm3,05/18-19/2021,Healthy,,Dairy 124,0.767906197,Pielou_e,calf
Dairy125,NY,Farm3,05/18-19/2021,Healthy,102.7,Dairy 125,0.670852423,Pielou_e,calf
Dairy126,NY,Farm3,05/18-19/2021,Healthy,,Dairy 126,0.538963804,Pielou_e,calf
Dairy127,NY,Farm3,05/18-19/2021,Healthy,104,Dairy 127,0.532258975,Pielou_e,calf
Dairy128,NY,Farm3,05/18-19/2021,Healthy,102.3,Dairy 128,0.510065782,Pielou_e,calf
Dairy129,NY,Farm3,05/18-19/2021,Healthy,,Dairy 129,0.405393823,Pielou_e,calf
Dairy130,NY,Farm3,05/18-19/2021,Healthy,102.3,Dairy 130,0.645810219,Pielou_e,calf
Dairy131,NY,Farm3,05/18-19/2021,Healthy,,Dairy 131,0.599587301,Pielou_e,calf
Dairy132,NY,Farm3,05/18-19/2021,Healthy,102.3,Dairy 132,0.605987413,Pielou_e,calf
Dairy133,NY,Farm3,05/18-19/2021,Healthy,102.7,Dairy 133,0.635713025,Pielou_e,calf
Dairy134,NY,Farm3,05/18-19/2021,Healthy,102.3,Dairy 134,0.648067424,Pielou_e,calf
Dairy135,NY,Farm3,05/18-19/2021,Healthy,102.4,Dairy 135,0.463210373,Pielou_e,calf
Dairy136,NY,Farm3,05/18-19/2021,BRD,102.5,Dairy 136,0.509892432,Pielou_e,calf
Dairy137,NY,Farm3,05/18-19/2021,BRD,102.7,Dairy 137,0.482145762,Pielou_e,calf
Dairy138,NY,Farm3,05/18-19/2021,BRD,102.3,Dairy 138,0.720892412,Pielou_e,calf
Dairy139,NY,Farm3,05/18-19/2021,BRD,102.6,Dairy 139,0.329905873,Pielou_e,calf
Dairy140,NY,Farm3,05/18-19/2021,BRD,103.1,Dairy 140,0.568524992,Pielou_e,calf
Dairy141,NY,Farm3,05/18-19/2021,BRD,102.3,Dairy 141,0.532600373,Pielou_e,calf
Dairy142,NY,Farm3,05/18-19/2021,BRD,103.1,Dairy 142,0.599394651,Pielou_e,calf
Dairy143,NY,Farm3,05/18-19/2021,BRD,103,Dairy 143,0.384577901,Pielou_e,calf
Dairy144,NY,Farm3,05/18-19/2021,BRD,102,Dairy 144,0.520082456,Pielou_e,calf
Dairy145,NY,Farm3,05/18-19/2021,BRD,102.2,Dairy 145,0.681415576,Pielou_e,calf
Dairy146,NY,Farm3,05/18-19/2021,BRD,102.2,Dairy 146,0.602190902,Pielou_e,calf
Dairy147,NY,Farm3,05/18-19/2021,BRD,102.5,Dairy 147,0.624110723,Pielou_e,calf
Dairy149,NY,Farm3,05/18-19/2021,BRD,103,Dairy 149,0.611184546,Pielou_e,calf
Dairy150,NY,Farm3,05/18-19/2021,BRD,103,Dairy 150,0.56943222,Pielou_e,calf
Dairy151,NY,Farm3,05/18-19/2021,BRD,101.7,Dairy 151,0.633144954,Pielou_e,calf
Dairy152,NY,Farm3,05/18-19/2021,BRD,103,Dairy 152,0.561901946,Pielou_e,calf
Dairy153,NY,Farm3,05/18-19/2021,BRD,105.8,Dairy 153,0.559511219,Pielou_e,calf
Dairy154,NY,Farm3,05/18-19/2021,BRD,105.3,Dairy 154,0.437528559,Pielou_e,calf
Dairy155,NY,Farm3,05/18-19/2021,BRD,102,Dairy 155,0.721221014,Pielou_e,calf
Dairy156,NY,Farm3,05/18-19/2021,BRD,102.4,Dairy 156,0.602078683,Pielou_e,calf
Dairy157,NY,Farm3,05/18-19/2021,BRD,106,Dairy 157,0.587139025,Pielou_e,calf
Dairy158,NY,Farm3,05/18-19/2021,BRD,106.3,Dairy 158,0.313628135,Pielou_e,calf
Dairy159,NY,Farm3,05/18-19/2021,BRD,101.2,Dairy 159,0.674038853,Pielou_e,calf
Dairy160,NY,Farm3,05/18-19/2021,BRD,102.1,Dairy 160,0.774412828,Pielou_e,calf
Dairy161,NY,Farm3,05/18-19/2021,BRD,102.4,Dairy 161,0.50361151,Pielou_e,calf
Dairy162,NY,Farm3,05/18-19/2021,BRD,102.8,Dairy 162,0.52194888,Pielou_e,calf
Dairy163,NY,Farm3,05/18-19/2021,BRD,102.6,Dairy 163,0.579261333,Pielou_e,calf
Dairy164,NY,Farm3,05/18-19/2021,BRD,104.9,Dairy 164,0.368738421,Pielou_e,calf
Dairy165,NY,Farm3,05/18-19/2021,BRD,101.6,Dairy 165,0.560142592,Pielou_e,calf
Dairy166,NY,Farm3,05/18-19/2021,BRD,102,Dairy 166,0.410334327,Pielou_e,calf
Dairy167,NY,Farm3,05/18-19/2021,BRD,,Dairy 167,0.373065139,Pielou_e,calf
Dairy168,NY,Farm3,05/18-19/2021,BRD,101.2,Dairy 168,0.44552082,Pielou_e,calf
Dairy169,NY,Farm3,05/18-19/2021,BRD,102,Dairy 169,0.724554609,Pielou_e,calf
Dairy170,NY,Farm3,05/18-19/2021,BRD,104,Dairy 170,0.643038157,Pielou_e,calf
Dairy171,NY,Farm4,5/20/21,Healthy,101.6,Dairy 171,0.362452532,Pielou_e,Cow
Dairy172,NY,Farm4,5/20/21,Healthy,101.2,Dairy 172,0.536273566,Pielou_e,calf
Dairy174,NY,Farm4,5/20/21,Healthy,101.7,Dairy 174,0.494859066,Pielou_e,Cow
Dairy177,NY,Farm4,5/20/21,Healthy,,Dairy 177,0.796379712,Pielou_e,Cow
Dairy178,NY,Farm4,5/20/21,Healthy,,Dairy 178,0.647278655,Pielou_e,Cow
Dairy180,NY,Farm4,5/20/21,Healthy,102.5,Dairy 180,0.818637195,Pielou_e,Cow
Dairy181,NY,Farm4,5/20/21,Healthy,,Dairy 181,0.789643638,Pielou_e,Cow
Dairy182,NY,Farm4,5/20/21,Healthy,,Dairy 182,0.434905518,Pielou_e,Cow
Dairy183,NY,Farm4,5/20/21,Healthy,,Dairy 183,0.632087432,Pielou_e,Cow
Dairy184,NY,Farm4,5/20/21,Healthy,101.5,Dairy 184,0.647057661,Pielou_e,Cow
