ASV,Taxonomy
a989d652f832cbb0d15fd84396b55ea9,B.vulgatus.5
dfed1d9825f6bc27002d7fcfe1382af1,B.vulgatus.5
f92e24acd3939d9f9f67e325140dfcc9,B.vulgatus.5
3bc9ae668827d423a821555aa02adfa9,B.vulgatus.5
b7c7e21f308c47bd89b71e21162b6b50,B.vulgatus.5
bf611493002f5918a68778bde2def567,B.vulgatus.5
4be279c319bdf5205461e267ee84af05,B.vulgatus.5
555a922ffb9788e40f26b180e9fd735e,B.vulgatus.5
8001826dafd338cf078dd28c2eae05ed,B.vulgatus.7
3833fb89680e0c1b788c137cde4ef3af,B.vulgatus.7
4e8d7a4662640b90817f015280cf5713,C.beijerinckii.3
e335f74033bc634af43ee6baa84fa247,C.beijerinckii.3
acaa45563ae1ef08b9a68f7bbfaee0fe,C.beijerinckii.3
c5f350c9d6c626cf86bdc5cd13785c85,C.beijerinckii.3
1102c6f352337f457fb6aa342eb64da3,C.beijerinckii.3
4e53ccb4ffc2601467d0235f34bdcdce,C.beijerinckii.3
5b0c29c16e3fdbf1bf7a37deab8677a6,C.beijerinckii.3
995f812673a73f9bc6724e43d2318a14,C.beijerinckii.3
49a972d2c4d08a148c1d0778d4eeb11b,C.beijerinckii.3
bf948b42a1c48221deadead60704854a,C.beijerinckii.3
5e7df8b52727d297ad374a5120d8bb8b,C.beijerinckii.3
cb97fb83d4c8cc6eccded352a4ca3f8f,C.beijerinckii.4
dffc86cefa76e3e3d93e7eea450e6807,C.sphaeroides.1
07da22cab5c55a4badb462bcbbded642,C.sphaeroides.2
115fcebb776eda0401839622d1eca5b8,C.sphaeroides.2
c9c9f02adc6245f99b1967bbdc927566,C.sphaeroides.2
afa3e197ab31aa17a760b9a076eb42f3,C.sphaeroides.2
d98b76a8c0623a26e907df00e164f0b8,C.sphaeroides.2
92f1720367db58c68a96eceb9feb416a,C.sphaeroides.2
2385fe1c2dd5a3f83237272a6644088b,D.radiodurans.1
036fb1149cf7d377da0003f6b71db30b,D.radiodurans.1
223f2312329858de6ae61fb9ce6e8239,D.radiodurans.1
d46e2205f0c6ecf67b51f83d111c509c,E.coli.1
d6e86aaadfff0f8c72771dd0ba426c14,E.coli.1
d7c175c5b206160e3c14ffd3ae2019d7,E.coli.1
3634bc16cbc5177030d819ad46dd532c,E.coli.1
f4c25d36e800c9a2b058a1aa3ba79f7f,E.coli.1
10c0c547559f0857916c692ebb00b43b,E.coli.1
9908fffab7ed4f3bec44cda2f5084d49,E.faecalis.2
bd569194c3d7c9dc1817718bf17a19b2,E.faecalis.2
31c862c1b2e0ffdd72b11a0b50c208f6,E.faecalis.2
ae520dd63a5e471af84835760315fb1e,E.faecalis.2
4b3c1463ec88c5c0b03d569b13fff9e5,E.faecalis.2
ef895df20b206f18958deae8a189264d,E.faecalis.2
e832be098a5318684958d14305267752,H.pylori.1
0df6c802966e8670279671824da4f10a,L.gasseri.1
8dc9cb48686b5018c825da4a00d1d063,L.gasseri.1
3bac14d2805bf995afe9d316a5777b1e,L.gasseri.1
355f19a2e22e9252ae3315edbba81909,L.gasseri.1
c54ecd701d322d197b9000b235740969,L.gasseri.1
adf93266d91193991bd30332b49d6a1f,L.gasseri.1
52c8c358e14bf7268d13d852f5a1be7a,L.gasseri.1
8224351b2abd16dd4d58c3015ff5e795,N.meningitidis.1
18ed2c565150cefb2486652676307e2d,N.meningitidis.1
ebebe55aa69d1eb78b8bb39af3eb8cf1,N.meningitidis.1
f2c00ffd42df6553b7b4e482195d69f1,N.meningitidis.1
8031712323a856429ac60de5950af599,N.meningitidis.1
2d4c46ce086246d2d6d8bd833c3abab6,N.meningitidis.1
56d6da1479dec7099cbe3041f2a1cbae,N.meningitidis.1
857981843377f8080171dba16d703693,N.meningitidis.1
e21e804c8cb49a5e0492b8fc5454220f,P.gingivalis.1
52095c31dd613b259628bd577273649c,P.gingivalis.1
e227ee6ee9b509c137f495212a815e55,P.gingivalis.1
18b7dea2656fc183938376d0b64221a0,P.gingivalis.1
c76deac78fc0774660b28e9bbdc42252,P.gingivalis.1
ff9d93d7b7e46787568f2d241caeaf3b,P.paraeruginosa.2
5648dccee530d68ceb3e4d7d22cf8756,P.paraeruginosa.2
58a9a501230a08491f94325868b26299,P.paraeruginosa.2
868b905a2148e4d0d5469adcca04d257,P.paraeruginosa.2
78db7fa6b16b73b101fbb8b282b5330e,P.paraeruginosa.2
1e5252f7f059d825508ebf3880dffd92,P.paraeruginosa.2
67fcefc39fd6452a3b498af9b00c4524,P.paraeruginosa.2
e3055f1b3a2ef5ffe239567f02e0e758,S.agalactiae.1
475e01536ad6212c9aa9f0457384f7b8,S.agalactiae.1
2f3b9a4179f113beb940c0c085f61388,S.agalactiae.1
4846aa474d13c8e93b4b050a357c2e76,S.agalactiae.1
fc96e33c8178aa79721cd7e6fa1d422b,S.agalactiae.1
1fc33813b66ef58dfed82d1af27a6833,S.agalactiae.1
08eb16f026a25ba0e2907e47f2e3aea9,S.agalactiae.1
7a951e332b3ba9ef03be75a60de238bc,S.agalactiae.1
315208a50e157a46a3cd7158a7638436,S.agalactiae.1
1d19b18db48daa1837d18d3171334ded,S.aureus.5
65d43491988bfe557da4d86a5ba25dae,S.epidermidis.2
4c1084e4bd6c6f83f8dfa767437e427e,S.epidermidis.2
48d62bb31a124d859ac51149d778edd9,S.epidermidis.2
55e2d7da8ea712bbd4185968a4841314,S.epidermidis.2
a20eb37d50abf4ef13197bd4a0ea8c84,S.epidermidis.2
124f6cfac6710928fc0ab9a7b46c71e2,S.epidermidis.5
23d884d6db12b1b38c7aafefc7fedaf4,S.epidermidis.5
dae8c7c48aeec1013148116fefb063bc,S.epidermidis.5
e7cfd084265c4df4856ca07b1c9b24ee,S.mutans.1
93025cd34c7cee10e3369584c779922a,S.mutans.1
5a6c87d6a4eb5e114959f6192f29b641,S.odontolytica.2
df8456a1abbfb4c8a2c450b44378d4cb,S.odontolytica.2
aec81281358fa153708fdb2fb2c7a03e,S.odontolytica.2
75d0bafe93e5796cb5924fb44c9b3cf4,S.odontolytica.2
5c944edc3de411df0e6b077d021f6515,S.odontolytica.2
