x		Query id	Subject id	Percent Identity	Alignment Length	Mismatches	Gaps	Alignment Start (query)	Alignment end (query)	Alignment Start (subject)	Alignment end (subject)	E Value	Bit Score	Query length	Percent Coverage
		cc9cdb1aab6ea80a9da7139f4afd2188	P.paraeruginosa.2	99.605	253	1	0	1	253	528	780	3.00E-133	462	253	1
		632647b071a2a859817c5815aa2761ad	P.paraeruginosa.2	95.984	249	8	2	6	253	533	780	1.84E-115	403	253	0.980237154
		e3055f1b3a2ef5ffe239567f02e0e758	S.agalactiae.1	100	252	0	0	1	252	178	429	2.31E-134	466	252	1
		2f3b9a4179f113beb940c0c085f61388	S.agalactiae.1	94.444	252	14	0	1	252	178	429	5.13E-111	388	252	1
		1d19b18db48daa1837d18d3171334ded	S.aureus.5	100	253	0	0	1	253	177	429	6.44E-135	468	253	1
		65d43491988bfe557da4d86a5ba25dae	S.epidermidis.2	100	253	0	0	1	253	177	429	6.44E-135	468	253	1
		e7cfd084265c4df4856ca07b1c9b24ee	S.mutans.1	100	252	0	0	1	252	178	429	2.31E-134	466	252	1
		5555fa38c470b09c6e527f1cdd81c30d	S.mutans.1	99.603	252	1	0	1	252	178	429	1.07E-132	460	252	1
		5a6c87d6a4eb5e114959f6192f29b641	S.odontolytica.2	87.451	255	28	3	1	253	394	142	1.50E-81	291	253	1
		df8456a1abbfb4c8a2c450b44378d4cb	S.odontolytica.2	100	253	0	0	1	253	394	142	6.44E-135	468	253	1
		127ac32c47edf39044ce9f93ac93ee71	S.odontolytica.2	99.605	253	1	0	1	253	394	142	3.00E-133	462	253	1
		b3e5b030e0d576155993bbf4a511dd9b	S.odontolytica.2	93.281	253	17	0	1	253	394	142	1.44E-106	374	253	1
		71b7bc617d7daf228f48f7492a7e58e9	S.odontolytica.2	93.281	253	17	0	1	253	394	142	1.44E-106	374	253	1
