Name,ID,Status,State,Farm,Date of colleciton,RectaTemp,16S copies,copy_log,copies,pre_abs,Bacteria,quality
Beef 130,Beef130,BRD,CO,Five Rivers,4/9/21,104,443703812.4,5.33466428,216104.7335,1,H.somni,Clean
Beef 131,Beef131,Healthy,CO,Five Rivers,4/9/21,101.8,1063914059,5.017565603,104127.5388,1,H.somni,Clean
Beef 132,Beef132,Healthy,CO,Five Rivers,4/9/21,103.6,410562001,3.593575599,3922.614223,1,H.somni,Clean
Beef 133,Beef133,Healthy,CO,Five Rivers,4/9/21,,753883094.2,8.175370414,149751235.4,1,H.somni,Clean
Beef 134,Beef134,Healthy,CO,Five Rivers,4/9/21,102.9,372828579,5.275635918,188640.9254,1,H.somni,Clean
Beef 135,Beef135,Healthy,CO,Five Rivers,4/9/21,103.5,236582558.8,4.574288299,37522.20039,1,H.somni,Clean
Beef 136,Beef136,BRD,CO,Five Rivers,4/9/21,105.3,609587059.5,4.51156189,32475.95196,1,H.somni,Clean
Beef 137,Beef137,Healthy,CO,Five Rivers,4/9/21,102.2,1112212073,5.314627737,206361.0539,1,H.somni,Clean
Beef 138,Beef138,BRD,CO,Five Rivers,4/9/21,105.6,2334035438,6.654686544,4515299.31,1,H.somni,Clean
Beef 139,Beef139,Healthy,CO,Five Rivers,4/9/21,103.3,258379920.4,4.459270666,28791.92256,1,H.somni,Clean
Beef 14,Beef14,BRD,TX,Cactus,3/8/21,105,230,2.278753601,190,0,H.somni,Clean
Beef 140,Beef140,Healthy,CO,Five Rivers,4/9/21,102.2,251810823.1,4.435392819,27251.65105,1,H.somni,Clean
Beef 141,Beef141,BRD,CO,Five Rivers,4/9/21,103.6,1104988471,3.820860981,6620.045595,1,H.somni,Clean
Beef 142,Beef142,BRD,CO,Five Rivers,4/9/21,104.2,88880002.81,3.297862134,1985.464533,1,H.somni,Clean
Beef 144,Beef144,BRD,CO,Five Rivers,4/9/21,104.1,833923168.4,4.507572136,32178.96982,1,H.somni,Clean
Beef 145,Beef145,Healthy,CO,Five Rivers,4/9/21,102.6,278060454.7,6.027653848,1065746.336,1,H.somni,Clean
Beef 146,Beef146,Healthy,CO,Five Rivers,4/9/21,103.6,103191994.2,3.948441336,8880.580109,1,H.somni,Clean
Beef 147,Beef147,BRD,CO,Five Rivers,4/9/21,102.6,1270766339,6.39392115,2476972.299,1,H.somni,Clean
Beef 148,Beef148,Healthy,CO,Five Rivers,4/9/21,104.7,323953842.3,5.779141777,601370.025,1,H.somni,Clean
Beef 149,Beef149,BRD,CO,Five Rivers,4/9/21,103.5,218228195.5,5.227095322,168692.3242,1,H.somni,Clean
Beef 15,Beef15,Healthy,TX,Cactus,3/10/21,102.2,1428446133,5.096365292,124843.3149,1,H.somni,Clean
Beef 150,Beef150,BRD,CO,Five Rivers,4/9/21,103.6,320414688.7,3.334587968,2160.667642,1,H.somni,Clean
Beef 151,Beef151,BRD,CO,Five Rivers,4/9/21,105.4,21559674614,7.296397687,19787807.96,1,H.somni,Clean
Beef 152,Beef152,BRD,CO,Five Rivers,4/9/21,107.1,90620169.2,4.331387893,21448.05394,1,H.somni,Clean
Beef 153,Beef153,BRD,CO,Five Rivers,4/9/21,102.2,1283392024,6.368280963,2334968.16,1,H.somni,Clean
Beef 154,Beef154,Healthy,CO,Five Rivers,4/9/21,102.6,2234629774,5.31078346,204542.4531,1,H.somni,Clean
Beef 155,Beef155,Healthy,TX,Cactus,4/7/21,102.5,1828644507,5.948502752,888183.6036,1,H.somni,Clean
Beef 156,Beef156,BRD,TX,Cactus,4/7/21,104.5,485096976.7,4.595864471,39433.42238,1,H.somni,Clean
Beef 159,Beef159,Healthy,TX,Cactus,4/15/21,101.6,230,2.278753601,190,0,H.somni,Clean
Beef 16,Beef16,Healthy,TX,Cactus,3/11/21,102.1,161766.89,7.757057648,57155449.98,1,H.somni,Clean
Beef 160,Beef160,BRD,TX,Cactus,4/13/21,104.2,1014321244,5.181126783,151749.3304,1,H.somni,Clean
Beef 161,Beef161,BRD,TX,Cactus,4/14/21,104.7,857593825.7,6.652769892,4495416.049,1,H.somni,Clean
Beef 163,Beef163,BRD,TX,Cactus,4/13/21,105.2,5184214.69,6.827497954,6721991.429,1,H.somni,Clean
Beef 164,Beef164,BRD,TX,Cactus,4/14/21,104,230,2.278753601,190,0,H.somni,Clean
Beef 165,Beef165,Healthy,TX,Cactus,4/13/21,101.7,54894641.82,4.368835009,23379.48868,1,H.somni,Clean
Beef 166,Beef166,BRD,TX,Cactus,4/14/21,104.2,16896187.63,4.551635754,35615.23009,1,H.somni,Clean
Beef 167,Beef167,Healthy,TX,Cactus,4/14/21,101.5,25510440.96,2.278753601,190,0,H.somni,Clean
Beef 168,Beef168,Healthy,TX,Cactus,4/14/21,102.3,3720886.29,3.003711423,1008.582488,1,H.somni,Clean
Beef 169,Beef169,Healthy,TX,Cactus,4/13/21,102.5,6643490.16,2.278753601,190,0,H.somni,Clean
Beef 17,Beef17,Healthy,TX,Cactus,3/8/21,103.8,230,2.278753601,190,0,H.somni,Clean
Beef 170,Beef170,BRD,TX,Cactus,4/13/21,105.5,3068387.1,4.744737968,55556.89528,1,H.somni,Clean
Beef 171,Beef171,Healthy,TX,Cactus,4/13/21,103,2509307.39,3.298867532,1990.066241,1,H.somni,Clean
Beef 172,Beef172,Healthy,TX,Cactus,4/14/21,102.7,10905494.25,2.91191905,816.4301799,1,H.somni,Clean
Beef 174,Beef174,BRD,TX,Cactus,4/13/21,104.8,12394605.87,3.739934683,5494.582306,1,H.somni,Clean
Beef 176,Beef176,Healthy,TX,Cactus,4/13/21,101.5,18921323.21,3.177551516,1505.052039,1,H.somni,Clean
Beef 178,Beef178,BRD,TX,Cactus,4/21/21,104.6,2466179.83,4.797954659,62799.27917,1,H.somni,Clean
Beef 179,Beef179,Healthy,TX,Cactus,4/21/21,102.3,2661634.63,2.957919919,907.6531492,1,H.somni,Clean
Beef 180,Beef180,BRD,TX,Cactus,4/27/21,104,12496540.18,3.871623444,7440.865324,1,H.somni,Clean
Beef 181,Beef181,Healthy,TX,Cactus,4/27/21,103.2,5381862.25,5.001801645,100415.7057,1,H.somni,Clean
Beef 183,Beef183,BRD,TX,Cactus,4/28/21,104,24733248.02,5.165059629,146237.7946,1,H.somni,Clean
Beef 184,Beef184,Healthy,TX,Cactus,4/29/21,102.5,11498080.24,3.223101396,1671.480814,1,H.somni,Clean
Beef 185,Beef185,BRD,TX,Cactus,4/29/21,104,24394525.11,5.146118095,139996.7955,1,H.somni,Clean
Beef 186,Beef186,Healthy,TX,Cactus,4/29/21,102.9,12358166.82,4.548106804,35327.00375,1,H.somni,Clean
Beef 187,Beef187,BRD,TX,Cactus,4/29/21,104,22771379.95,4.83854366,68951.49079,1,H.somni,Clean
Beef 188,Beef188,Healthy,TX,Cactus,4/29/21,103,7096313.76,2.839309836,690.7324135,1,H.somni,Clean
Beef 190,Beef190,Healthy,IN,Ault,4/7/21,101.8,224315487.3,6.962701412,9177014.37,1,H.somni,Clean
Beef 191,Beef191,BRD,IN,Ault,4/7/21,102.7,4.41E+11,7.164744442,14613170.18,1,H.somni,Clean
Beef 192,Beef192,BRD,IN,Ault,4/7/21,102.4,84030733827,3.182963383,1523.924262,1,H.somni,Clean
Beef 193,Beef193,BRD,IN,Ault,4/7/21,102.9,11878623162,5.10282316,126713.5796,1,H.somni,Clean
Beef 194,Beef194,Healthy,IN,Ault,4/7/21,103.6,1.45E+11,5.411299572,257809.8892,1,H.somni,Clean
Beef 195,Beef195,BRD,IN,Ault,4/7/21,103.6,2.04E+11,6.783207827,6070267.461,1,H.somni,Clean
Beef 196,Beef196,BRD,IN,Ault,4/7/21,103.8,1.85E+11,7.354159783,22602672.01,1,H.somni,Clean
Beef 197,Beef197,Healthy,IN,Ault,4/7/21,101.8,2.36E+11,3.384555425,2424.127312,1,H.somni,Clean
Beef 198,Beef198,Healthy,IN,Ault,4/7/21,103.4,1.26E+11,6.435946369,2728640.799,1,H.somni,Clean
Beef 199,Beef199,Healthy,IN,Ault,4/7/21,103,12449358067,6.77779596,5995093.489,1,H.somni,Clean
Beef 2,Beef2,BRD,TX,Cactus,3/4/21,104,9430713.31,7.690320384,49014026.79,1,H.somni,Clean
Beef 200,Beef200,Healthy,IN,Ault,4/7/21,103.3,870000508.3,4.556224605,35993.54354,1,H.somni,Clean
Beef 201,Beef201,BRD,IN,Ault,4/7/21,102.4,2.56E+11,5.592597113,391378.6336,1,H.somni,Clean
Beef 202,Beef202,Healthy,IN,Ault,4/7/21,103.3,1.65E+11,7.222471022,16690564.37,1,H.somni,Clean
Beef 21,Beef21,Healthy,TX,Cactus,3/11/21,103.1,230,2.278753601,190,0,H.somni,Clean
Beef 210,Beef210,Healthy,IN,Ault,5/19/21,102.5,2.72E+11,7.630164994,42674161.25,1,H.somni,Clean
Beef 211,Beef211,BRD,IN,Ault,5/19/21,103.7,3138017508,6.310571452,2044426.268,1,H.somni,Clean
Beef 212,Beef212,BRD,IN,Ault,5/19/21,105.3,84834743833,6.588380619,3875971.893,1,H.somni,Clean
Beef 213,Beef213,Healthy,IN,Ault,5/19/21,102,10709022.7,5.852366723,711814.3238,1,H.somni,Clean
Beef 214,Beef214,BRD,IN,Ault,5/19/21,104.3,2.09E+11,7.72667662,53293791.68,1,H.somni,Clean
Beef 215,Beef215,BRD,IN,Ault,5/19/21,103.1,230,6.363788143,2310937.199,1,H.somni,Clean
Beef 216,Beef216,BRD,IN,Ault,5/19/21,103,3.74E+11,7.376709228,23807249.77,1,H.somni,Clean
Beef 217,Beef217,Healthy,IN,Ault,5/19/21,102.8,3.08E+11,4.242336326,17471.74673,1,H.somni,Clean
Beef 218,Beef218,BRD,IN,Ault,6/8/21,106.7,2.01E+11,6.669558622,4672600.19,1,H.somni,Clean
Beef 219,Beef219,Healthy,IN,Ault,6/8/21,104.5,2.00E+11,6.223981582,1674871.846,1,H.somni,Clean
Beef 22,Beef22,BRD,TX,Cactus,3/10/21,104.6,230,2.278753601,190,0,H.somni,Clean
Beef 220,Beef220,Healthy,IN,Ault,6/8/21,102.5,1985839434,5.140706228,138263.0803,1,H.somni,Clean
Beef 221,Beef221,Healthy,IN,Ault,6/8/21,103.5,3.41E+11,7.030349748,10723825.73,1,H.somni,Clean
Beef 222,Beef222,BRD,IN,Ault,6/8/21,103.8,2100504.78,5.611538647,408826.1309,1,H.somni,Clean
Beef 224,Beef224,Healthy,IN,Ault,6/8/21,102.7,3.23E+11,6.642499288,4390351.458,1,H.somni,Clean
Beef 225,Beef225,Healthy,IN,Ault,6/7/21,104.9,45429660.67,3.243846886,1753.262265,1,H.somni,Clean
Beef 226,Beef226,Healthy,IN,Ault,6/7/21,104.1,234991182.6,4.530067248,33889.66284,1,H.somni,Clean
Beef 227,Beef227,Healthy,IN,Ault,6/7/21,104.4,2457064.8,5.644911826,441480.8051,1,H.somni,Clean
Beef 228,Beef228,BRD,IN,Ault,6/7/21,105,2.67E+11,7.245922445,17616614.27,1,H.somni,Clean
Beef 229,Beef229,Healthy,IN,Ault,6/7/21,103.8,819132.59,2.7757204,596.6510379,1,H.somni,Clean
Beef 23,Beef23,Healthy,TX,Cactus,3/8/21,102.9,230,2.278753601,190,0,H.somni,Clean
Beef 230,Beef230,Healthy,IN,Ault,6/7/21,104.3,5636526.12,5.938956593,868873.5829,1,H.somni,Clean
Beef 231,Beef231,BRD,IN,Ault,6/7/21,105.2,395251494.5,6.744422781,5551658.978,1,H.somni,Clean
Beef 232,Beef232,BRD,IN,Ault,6/7/21,103.3,1769993.38,3.833740376,6819.309095,1,H.somni,Clean
Beef 233,Beef233,Healthy,IN,Ault,6/7/21,103.8,334249620.3,4.411006177,25763.57799,1,H.somni,Clean
Beef 24,Beef24,BRD,TX,Cactus,3/10/21,104.3,11756549.29,6.388856081,2448251.792,1,H.somni,Clean
Beef 240,Beef240,BRD,IN,Ault,8/25/21,103.3,10452.89,3.584794499,3844.098429,1,H.somni,Clean
Beef 241,Beef241,Healthy,IN,Ault,8/25/21,105.9,1.42E+11,3.48557694,3058.982129,1,H.somni,Clean
Beef 242,Beef242,Healthy,IN,Ault,8/25/21,103.1,15312223131,4.984664066,96530.39121,1,H.somni,Clean
Beef 243,Beef243,Healthy,IN,Ault,8/25/21,105.6,66591050805,4.639206564,43571.90656,1,H.somni,Clean
Beef 244,Beef244,Healthy,IN,Ault,8/25/21,104.2,1.52E+11,5.562831845,365453.2638,1,H.somni,Clean
Beef 245,Beef245,BRD,IN,Ault,8/25/21,105.3,1672063835,6.528850083,3379481.578,1,H.somni,Clean
Beef 246,Beef246,Healthy,IN,Ault,9/30/21,103.3,3.26E+11,6.555909418,3596743.089,1,H.somni,Clean
Beef 247,Beef247,Healthy,IN,Ault,9/30/21,104.2,1.12E+12,3.383653447,2419.097914,1,H.somni,Clean
Beef 248,Beef248,BRD,IN,Ault,9/30/21,103.1,230,5.350867059,224319.5157,1,H.somni,Clean
Beef 249,Beef249,BRD,ID,Boise Valley Feeders,10/1/21,105.4,478612514.9,2.865016204,732.8518761,1,H.somni,Clean
Beef 25,Beef25,BRD,TX,Cactus,3/10/21,105.5,311700.24,6.855189904,7164566.275,1,H.somni,Clean
Beef 250,Beef250,BRD,ID,Boise Valley Feeders,10/1/21,105.1,48701858.03,2.278753601,190,0,H.somni,Clean
Beef 251,Beef251,BRD,ID,Boise Valley Feeders,10/1/21,105.3,41996583.69,3.230016853,1698.309556,1,H.somni,Clean
Beef 252,Beef252,BRD,ID,Boise Valley Feeders,10/1/21,106.2,330367090,2.948511465,888.201423,1,H.somni,Clean
Beef 253,Beef253,BRD,ID,Boise Valley Feeders,10/1/21,105.7,237579456.5,3.91447925,8212.573136,1,H.somni,Clean
Beef 254,Beef254,BRD,ID,Boise Valley Feeders,10/1/21,105.8,606200024.5,4.640273735,43679.10536,1,H.somni,Clean
Beef 255,Beef255,BRD,ID,Boise Valley Feeders,10/1/21,104.4,41896880.35,3.159572641,1444.018114,1,H.somni,Clean
Beef 256,Beef256,BRD,ID,Boise Valley Feeders,10/1/21,104.4,789981508.6,6.837996608,6886469.172,1,H.somni,Clean
Beef 257,Beef257,BRD,ID,Boise Valley Feeders,10/1/21,105.2,41056771038,3.731113666,5384.106798,1,H.somni,Clean
Beef 258,Beef258,BRD,ID,Boise Valley Feeders,10/1/21,106.9,35993675.36,3.726229207,5323.891631,1,H.somni,Clean
Beef 259,Beef259,Healthy,ID,Boise Valley Feeders,10/6/21,,125071.16,2.278753601,190,0,H.somni,Clean
Beef 26,Beef26,Healthy,TX,Cactus,3/10/21,102.9,18913797.17,4.719340093,52401.06247,1,H.somni,Clean
Beef 260,Beef260,Healthy,ID,Boise Valley Feeders,10/6/21,,7060370.33,3.34809902,2228.943295,1,H.somni,Clean
Beef 261,Beef261,Healthy,ID,Boise Valley Feeders,10/6/21,,359700.99,2.278753601,190,0,H.somni,Clean
Beef 262,Beef262,Healthy,ID,Boise Valley Feeders,10/6/21,,19396.13,3.535074962,3428.269552,1,H.somni,Clean
Beef 263,Beef263,Healthy,ID,Boise Valley Feeders,10/6/21,,2525738.02,6.39158553,2463686.987,1,H.somni,Clean
Beef 266,Beef266,Healthy,ID,Boise Valley Feeders,10/6/21,,1346599.81,3.677790172,4762.008568,1,H.somni,Clean
Beef 267,Beef267,Healthy,ID,Boise Valley Feeders,10/6/21,,246897.94,3.365348953,2319.257413,1,H.somni,Clean
Beef 268,Beef268,Healthy,ID,Boise Valley Feeders,10/6/21,,1032926.32,3.263318531,1833.658815,1,H.somni,Clean
Beef 269,Beef269,BRD,ID,Boise Valley Feeders,10/6/21,107.7,33169.27,3.456096589,2858.226155,1,H.somni,Clean
Beef 27,Beef27,BRD,TX,Cactus,3/11/21,105.3,611101263.8,5.851858165,710981.2791,1,H.somni,Clean
Beef 270,Beef270,BRD,ID,Boise Valley Feeders,10/6/21,106.4,67643.56,4.047939221,11167.06956,1,H.somni,Clean
Beef 271,Beef271,BRD,ID,Boise Valley Feeders,10/6/21,104.1,1262093.9,3.757877945,5726.350738,1,H.somni,Clean
Beef 272,Beef272,BRD,ID,Boise Valley Feeders,10/6/21,105.3,1144214.74,4.929136283,84944.69922,1,H.somni,Clean
Beef 273,Beef273,BRD,ID,Boise Valley Feeders,10/6/21,105.1,107554.27,3.204007026,1599.583905,1,H.somni,Clean
Beef 274,Beef274,BRD,ID,Boise Valley Feeders,10/6/21,106.4,35968.16,3.267800244,1852.679276,1,H.somni,Clean
Beef 275,Beef275,BRD,ID,Boise Valley Feeders,10/6/21,105.5,651123.28,5.547589185,352849.2389,1,H.somni,Clean
Beef 276,Beef276,BRD,ID,Boise Valley Feeders,10/6/21,104.3,4735852.42,5.850681123,709056.9578,1,H.somni,Clean
Beef 277,Beef277,BRD,ID,Boise Valley Feeders,10/6/21,104.2,91406.23,3.632376508,4289.202078,1,H.somni,Clean
Beef 278,Beef278,BRD,ID,Boise Valley Feeders,10/6/21,107.2,19276.38,3.427350381,2675.163813,1,H.somni,Clean
Beef 279,Beef279,BRD,ID,Boise Valley Feeders,10/6/21,105.5,1187672.55,3.175908151,1499.367701,1,H.somni,Clean
Beef 28,Beef28,BRD,TX,Cactus,3/8/21,105.4,62313906.88,7.684195331,48327611.39,1,H.somni,Clean
Beef 280,Beef280,BRD,ID,Boise Valley Feeders,10/6/21,105,10492693.55,3.329822143,2137.086708,1,H.somni,Clean
Beef 281,Beef281,BRD,ID,Boise Valley Feeders,10/6/21,106.1,1453456.11,2.278753601,190,0,H.somni,Clean
Beef 282,Beef282,BRD,ID,Boise Valley Feeders,10/6/21,106.3,764386.67,5.682925879,481865.5503,1,H.somni,Clean
Beef 283,Beef283,BRD,ID,Boise Valley Feeders,10/6/21,106.3,120157.29,2.278753601,190,0,H.somni,Clean
Beef 284,Beef284,BRD,ID,Boise Valley Feeders,10/6/21,104.5,236680.54,5.059246156,114616.2398,1,H.somni,Clean
Beef 285,Beef285,BRD,ID,Boise Valley Feeders,10/6/21,106.1,776204.21,4.461508726,28940.67963,1,H.somni,Clean
Beef 286,Beef286,Healthy,ID,Boise Valley Feeders,10/6/21,,54975.3,3.079238326,1200.157727,1,H.somni,Clean
Beef 287,Beef287,Healthy,ID,Boise Valley Feeders,10/6/21,,859546.66,3.205209118,1604.017557,1,H.somni,Clean
Beef 288,Beef288,Healthy,ID,Boise Valley Feeders,10/6/21,,1658893.5,5.04724875,111493.2948,1,H.somni,Clean
Beef 289,Beef289,Healthy,ID,Boise Valley Feeders,10/6/21,,501381.5,3.222812678,1670.369988,1,H.somni,Clean
Beef 29,Beef29,BRD,TX,Cactus,3/10/21,106,29668554.21,5.817881343,657478.178,1,H.somni,Clean
Beef 290,Beef290,Healthy,ID,Boise Valley Feeders,10/6/21,,591911.72,3.308137536,2033.000735,1,H.somni,Clean
Beef 291,Beef291,Healthy,ID,Boise Valley Feeders,10/6/21,,36965275.12,3.570443966,3719.152327,1,H.somni,Clean
Beef 292,Beef292,Healthy,ID,Boise Valley Feeders,10/6/21,,2157904716,4.398057212,25006.74768,1,H.somni,Clean
Beef 293,Beef293,Healthy,ID,Boise Valley Feeders,10/6/21,,1.49E+12,3.285656997,1930.443065,1,H.somni,Clean
Beef 296,Beef296,Healthy,ID,Boise Valley Feeders,10/6/21,,409805891.4,3.324784589,2112.441006,1,H.somni,Clean
Beef 297,Beef297,Healthy,ID,Boise Valley Feeders,10/6/21,,2.25E+11,3.486178475,3063.222021,1,H.somni,Clean
Beef 299,Beef299,Healthy,ID,Boise Valley Feeders,10/6/21,,9491543.77,3.111485945,1292.664866,1,H.somni,Clean
Beef 3,Beef3,BRD,TX,Cactus,3/4/21,104,39652681.56,7.154880959,14285023.5,1,H.somni,Clean
Beef 30,Beef30,Healthy,TX,Cactus,3/8/21,102.1,34809890.43,7.724266488,52998855.1,1,H.somni,Clean
Beef 300,Beef300,Healthy,ID,Boise Valley Feeders,10/6/21,,18978796.91,3.272834181,1874.278748,1,H.somni,Clean
Beef 301,Beef301,Healthy,ID,Boise Valley Feeders,10/6/21,,26054702.52,2.278753601,190,0,H.somni,Clean
Beef 303,Beef303,BRD,ID,Boise Valley Feeders,10/8/21,,1808103.58,5.031668304,107564.3369,1,H.somni,Clean
Beef 305,Beef305,BRD,ID,Boise Valley Feeders,10/8/21,,808664.24,3.202811674,1595.187265,1,H.somni,Clean
Beef 306,Beef306,BRD,ID,Boise Valley Feeders,10/8/21,,713552.86,2.278753601,190,0,H.somni,Clean
Beef 307,Beef307,BRD,ID,Boise Valley Feeders,10/8/21,,185280014.9,2.925367686,842.107792,1,H.somni,Clean
Beef 308,Beef308,Healthy,ID,Boise Valley Feeders,10/8/21,,10250932.28,3.852011751,7112.327572,1,H.somni,Clean
Beef 309,Beef309,Healthy,ID,Boise Valley Feeders,10/8/21,,27756166.91,3.16814595,1472.807373,1,H.somni,Clean
Beef 31,Beef31,BRD,TX,Cactus,3/8/21,105.8,187156661.7,7.419396334,26266144.8,1,H.somni,Clean
Beef 312,Beef312,Healthy,ID,Boise Valley Feeders,10/8/21,,32578478.91,3.357078932,2275.510963,1,H.somni,Clean
Beef 313,Beef313,BRD,CO,Five Rivers,10/19/21,104.2,119867240.6,3.776080684,5971.462146,1,H.somni,Clean
Beef 315,Beef315,BRD,CO,Five Rivers,10/19/21,103.5,880415983.8,6.140325008,1381417.673,1,H.somni,Clean
Beef 316,Beef316,BRD,CO,Five Rivers,10/19/21,102.8,714394008.8,3.821702189,6632.880738,1,H.somni,Clean
Beef 317,Beef317,BRD,CO,Five Rivers,10/19/21,105.5,380528608.9,3.817028252,6561.87951,1,H.somni,Clean
Beef 318,Beef318,BRD,CO,Five Rivers,10/19/21,105.1,473965450.1,6.770744778,5898543.385,1,H.somni,Clean
Beef 319,Beef319,BRD,CO,Five Rivers,10/19/21,106.4,119068043,4.87564377,75100.66285,1,H.somni,Clean
Beef 32,Beef32,BRD,TX,Cactus,3/8/21,104.5,272845652.5,6.46308135,2904566.673,1,H.somni,Clean
Beef 320,Beef320,BRD,CO,Five Rivers,10/19/21,103.8,200547945.5,5.365735746,232132.3919,1,H.somni,Clean
Beef 321,Beef321,Healthy,CO,Five Rivers,10/19/21,103.5,118679208.2,3.350731272,2242.49391,1,H.somni,Clean
Beef 322,Beef322,Healthy,CO,Five Rivers,10/19/21,102.4,1935973167,3.8490116,7063.364207,1,H.somni,Clean
Beef 323,Beef323,Healthy,CO,Five Rivers,10/19/21,103.5,793768628.7,4.1673611,14701.48145,1,H.somni,Clean
Beef 325,Beef325,Healthy,CO,Five Rivers,10/19/21,103.5,294940491.2,4.366467937,23252.40815,1,H.somni,Clean
Beef 326,Beef326,Healthy,CO,Five Rivers,10/19/21,103.5,1111345050,3.843392032,6972.556345,1,H.somni,Clean
Beef 327,Beef327,Healthy,CO,Five Rivers,10/19/21,102.2,500669614.6,3.870723676,7425.465349,1,H.somni,Clean
Beef 328,Beef328,Healthy,CO,Five Rivers,10/19/21,103.5,902714222.8,3.841339301,6939.677699,1,H.somni,Clean
Beef 329,Beef329,Healthy,CO,Five Rivers,10/19/21,103.5,168957475.1,3.498179592,3149.050259,1,H.somni,Clean
Beef 33,Beef33,BRD,TX,Cactus,3/8/21,106,309018610.3,6.669152403,4668231.692,1,H.somni,Clean
Beef 330,Beef330,Healthy,CO,Five Rivers,10/19/21,103.5,250606430.3,4.309557832,20396.60251,1,H.somni,Clean
Beef 331,Beef331,Healthy,CO,Five Rivers,10/19/21,103.5,2427860563,4.300772764,19988.15753,1,H.somni,Clean
