,Bacteria,State,Status,pre_abs,n,per,Samples,,
7,H.somni,IN,BRD,Negative,16,32,IN-H.somni-BRD-Negative,,
9,H.somni,NY,Healthy,Negative,11,22,NY-H.somni-Healthy-Negative,,
11,H.somni,NY,BRD,Negative,14,27.45098039,NY-H.somni-BRD-Negative,,
13,H.somni,TX,Healthy,Negative,7,12.72727273,TX-H.somni-Healthy-Negative,,
15,H.somni,TX,BRD,Negative,4,7.272727273,TX-H.somni-BRD-Negative,,
17,P.multocida,CA,Healthy,Negative,19,40.42553191,CA-P.multocida-Healthy-Negative,,
19,P.multocida,CA,BRD,Negative,17,34.69387755,CA-P.multocida-BRD-Negative,,
21,P.multocida,IN,Healthy,Negative,26,55.31914894,IN-P.multocida-Healthy-Negative,,
23,P.multocida,IN,BRD,Negative,28,56,IN-P.multocida-BRD-Negative,,
25,P.multocida,NY,Healthy,Negative,30,60,NY-P.multocida-Healthy-Negative,,
27,P.multocida,NY,BRD,Negative,26,50.98039216,NY-P.multocida-BRD-Negative,,
29,P.multocida,TX,Healthy,Negative,31,56.36363636,TX-P.multocida-Healthy-Negative,,
31,P.multocida,TX,BRD,Negative,36,65.45454545,TX-P.multocida-BRD-Negative,,
33,M.bovis,CA,Healthy,Negative,46,97.87234043,CA-M.bovis-Healthy-Negative,,
35,M.bovis,CA,BRD,Negative,46,93.87755102,CA-M.bovis-BRD-Negative,,
37,M.bovis,IN,Healthy,Negative,41,87.23404255,IN-M.bovis-Healthy-Negative,,
39,M.bovis,IN,BRD,Negative,38,76,IN-M.bovis-BRD-Negative,,
41,M.bovis,NY,Healthy,Negative,45,90,NY-M.bovis-Healthy-Negative,,
43,M.bovis,NY,BRD,Negative,47,92.15686275,NY-M.bovis-BRD-Negative,,
45,M.bovis,TX,Healthy,Negative,52,94.54545455,TX-M.bovis-Healthy-Negative,,
47,M.bovis,TX,BRD,Negative,50,90.90909091,TX-M.bovis-BRD-Negative,,
49,M.haemolytica,CA,Healthy,Negative,37,78.72340426,CA-M.haemolytica-Healthy-Negative,,
51,M.haemolytica,CA,BRD,Negative,21,42.85714286,CA-M.haemolytica-BRD-Negative,,
53,M.haemolytica,IN,Healthy,Negative,32,68.08510638,IN-M.haemolytica-Healthy-Negative,,
55,M.haemolytica,IN,BRD,Negative,30,60,IN-M.haemolytica-BRD-Negative,,
57,M.haemolytica,NY,Healthy,Negative,38,76,NY-M.haemolytica-Healthy-Negative,,
59,M.haemolytica,NY,BRD,Negative,42,82.35294118,NY-M.haemolytica-BRD-Negative,,
61,M.haemolytica,TX,Healthy,Negative,31,56.36363636,TX-M.haemolytica-Healthy-Negative,,
63,M.haemolytica,TX,BRD,Negative,29,52.72727273,TX-M.haemolytica-BRD-Negative,,
